strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count	base_strain	lookup_strain	gisaid_query_strain	decorated_name	match_type	matched_existing_strain	autofilled	repo_match_type	repo_header	repo_strain	repo_matched	repo_aa_length	gisaid_match_type	gisaid_header	gisaid_matched_strain	gisaid_matched	gisaid_aa_length	total_measurement_count	public_lookup_strain	public_status	public_matched_title	public_matched_ha_record	public_note	public_aa_length	gisaid_selected_isolate_id	gisaid_selected_passage	gisaid_selected_lab	gisaid_selection_reason	gisaid_selection_review_flag
A/BELGIUM/G25/2004		A	H3N2	2004.0		virus_only	6	0	A/BELGIUM/G25/2004	A/BELGIUM/G25/2004	A/BELGIUM/G25/2004	False			False				False					False		6	A/BELGIUM/G25/2004	no_public_match									False
A/BELGIUM/G251/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G251/2009	A/BELGIUM/G251/2009	A/BELGIUM/G251/2009	False			False				False					False		17	A/BELGIUM/G251/2009	no_public_match									False
A/BELGIUM/G253/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G253/2009	A/BELGIUM/G253/2009	A/BELGIUM/G253/2009	False			False				False					False		17	A/BELGIUM/G253/2009	no_public_match									False
A/BELGIUM/G254/2009	A_BELGIUM_G254_2009	A	H3N2	2009.0	PAPER_REPO_HA1	virus_only	17	0	A/BELGIUM/G254/2009	A/BELGIUM/G254/2009	A/BELGIUM/G254/2009	False			False	repo_exact	A_BELGIUM_G254_2009	A/BELGIUM/G254/2009	True	328.0				False		17	A/BELGIUM/G254/2009										False
A/BELGIUM/G257/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G257/2009	A/BELGIUM/G257/2009	A/BELGIUM/G257/2009	False			False				False					False		17	A/BELGIUM/G257/2009	no_public_match									False
A/BELGIUM/G278/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/G278/2009	A/BELGIUM/G278/2009	A/BELGIUM/G278/2009	False			False				False					False		8	A/BELGIUM/G278/2009	no_public_match									False
A/BELGIUM/G288/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G288/2009	A/BELGIUM/G288/2009	A/BELGIUM/G288/2009	False			False				False					False		17	A/BELGIUM/G288/2009	no_public_match									False
A/BELGIUM/G296/2000		A	H3N2	2000.0		virus_only	5	0	A/BELGIUM/G296/2000	A/BELGIUM/G296/2000	A/BELGIUM/G296/2000	False			False				False					False		5	A/BELGIUM/G296/2000	no_public_match									False
A/BELGIUM/G298/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/G298/2009	A/BELGIUM/G298/2009	A/BELGIUM/G298/2009	False			False				False					False		8	A/BELGIUM/G298/2009	no_public_match									False
A/BELGIUM/G299/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G299/2009	A/BELGIUM/G299/2009	A/BELGIUM/G299/2009	False			False				False					False		17	A/BELGIUM/G299/2009	no_public_match									False
A/BELGIUM/G307/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G307/2009	A/BELGIUM/G307/2009	A/BELGIUM/G307/2009	False			False				False					False		17	A/BELGIUM/G307/2009	no_public_match									False
A/BELGIUM/G308/2009	A_BELGIUM_G308_2009	A	H3N2	2009.0	PAPER_REPO_HA1	virus_only	17	0	A/BELGIUM/G308/2009	A/BELGIUM/G308/2009	A/BELGIUM/G308/2009	False			False	repo_exact	A_BELGIUM_G308_2009	A/BELGIUM/G308/2009	True	328.0				False		17	A/BELGIUM/G308/2009										False
A/BELGIUM/G314/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G314/2009	A/BELGIUM/G314/2009	A/BELGIUM/G314/2009	False			False				False					False		17	A/BELGIUM/G314/2009	no_public_match									False
A/BELGIUM/G316/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G316/2009	A/BELGIUM/G316/2009	A/BELGIUM/G316/2009	False			False				False					False		17	A/BELGIUM/G316/2009	no_public_match									False
A/BELGIUM/G318/2009		A	H3N2	2009.0		virus_only	9	0	A/BELGIUM/G318/2009	A/BELGIUM/G318/2009	A/BELGIUM/G318/2009	False			False				False					False		9	A/BELGIUM/G318/2009	no_public_match									False
A/BELGIUM/G320/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G320/2009	A/BELGIUM/G320/2009	A/BELGIUM/G320/2009	False			False				False					False		17	A/BELGIUM/G320/2009	no_public_match									False
A/BELGIUM/G344/2009		A	H3N2	2009.0		virus_only	9	0	A/BELGIUM/G344/2009	A/BELGIUM/G344/2009	A/BELGIUM/G344/2009	False			False				False					False		9	A/BELGIUM/G344/2009	no_public_match									False
A/BELGIUM/G346/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G346/2009	A/BELGIUM/G346/2009	A/BELGIUM/G346/2009	False			False				False					False		17	A/BELGIUM/G346/2009	no_public_match									False
A/BELGIUM/G349/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/G349/2009	A/BELGIUM/G349/2009	A/BELGIUM/G349/2009	False			False				False					False		17	A/BELGIUM/G349/2009	no_public_match									False
A/BELGIUM/G589/2014@VS0235	EPI_ISL_170271	A	H3N2		GISAID	virus_only	10	0	A/BELGIUM/G589/2014	A/BELGIUM/G589/2014	A/BELGIUM/G589/2014	True			False				False		canonical_isolate_id	EPI_ISL_170271|A/Belgium/G589/2014|2014-10-22|SIAT1/SIAT1|2014-10-22|Scientific_Institute_of_Public_Health	A/BELGIUM/G589/2014	True	566	10	A/BELGIUM/G589/2014						EPI_ISL_170271	SIAT1/SIAT1	Scientific_Institute_of_Public_Health	single_isolate_id	False
A/BELGIUM/G60/2004		A	H3N2	2004.0		virus_only	6	0	A/BELGIUM/G60/2004	A/BELGIUM/G60/2004	A/BELGIUM/G60/2004	False			False				False					False		6	A/BELGIUM/G60/2004	no_public_match									False
A/BELGIUM/G65/2004		A	H3N2	2004.0		virus_only	6	0	A/BELGIUM/G65/2004	A/BELGIUM/G65/2004	A/BELGIUM/G65/2004	False			False				False					False		6	A/BELGIUM/G65/2004	no_public_match									False
A/BELGIUM/G678/2014@VS0243	EPI_ISL_170274	A	H3N2		GISAID	virus_only	10	0	A/BELGIUM/G678/2014	A/BELGIUM/G678/2014	A/BELGIUM/G678/2014	True			False				False		canonical_isolate_id	EPI_ISL_170274|A/Belgium/G678/2014|2014-12-04|SIAT1/SIAT1|2014-12-04|Scientific_Institute_of_Public_Health	A/BELGIUM/G678/2014	True	566	10	A/BELGIUM/G678/2014						EPI_ISL_170274	SIAT1/SIAT1	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/G72/2004		A	H3N2	2004.0		virus_only	6	0	A/BELGIUM/G72/2004	A/BELGIUM/G72/2004	A/BELGIUM/G72/2004	False			False				False					False		6	A/BELGIUM/G72/2004	no_public_match									False
A/BELGIUM/G94/2004		A	H3N2	2004.0		virus_only	6	0	A/BELGIUM/G94/2004	A/BELGIUM/G94/2004	A/BELGIUM/G94/2004	False			False				False					False		6	A/BELGIUM/G94/2004	no_public_match									False
A/BELGIUM/H0017/2020	EPI_ISL_477438	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/H0017/2020	A/BELGIUM/H0017/2020	A/BELGIUM/H0017/2020	False			False				False		canonical_isolate_id	EPI_ISL_477437|A/Belgium/H0017/2020|2020-02-09|SIAT1-ori|2020-02-09|Scientific_Institute_of_Public_Health	A/BELGIUM/H0017/2020	True	566	9	A/BELGIUM/H0017/2020						EPI_ISL_477437	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/H23/2017	EPI_ISL_274505	A	H3N2	2017.0	GISAID	virus_only	5	0	A/BELGIUM/H23/2017	A/BELGIUM/H23/2017	A/BELGIUM/H23/2017	False			False				False		canonical_isolate_id	EPI_ISL_274505|A/Belgium/H23/2017|2017-01-29|SIATx/SIAT1|2017-01-29|Scientific_Institute_of_Public_Health	A/BELGIUM/H23/2017	True	566	5	A/BELGIUM/H23/2017						EPI_ISL_274505	SIATx/SIAT1	Scientific_Institute_of_Public_Health	single_isolate_id	False
A/BELGIUM/H25/2017	EPI_ISL_274507	A	H3N2	2017.0	GISAID	virus_only	6	0	A/BELGIUM/H25/2017	A/BELGIUM/H25/2017	A/BELGIUM/H25/2017	False			False				False		canonical_isolate_id	EPI_ISL_274507|A/Belgium/H25/2017|2017-01-25|SIATx/SIAT1|2017-01-25|Scientific_Institute_of_Public_Health	A/BELGIUM/H25/2017	True	566	6	A/BELGIUM/H25/2017						EPI_ISL_274507	SIATx/SIAT1	Scientific_Institute_of_Public_Health	single_isolate_id	False
A/BELGIUM/H80/2014@VS0239	EPI_ISL_170275	A	H3N2		GISAID	virus_only	10	0	A/BELGIUM/H80/2014	A/BELGIUM/H80/2014	A/BELGIUM/H80/2014	True			False				False		canonical_isolate_id	EPI_ISL_170275|A/Belgium/H80/2014|2014-09-29|SIAT1/SIAT1|2014-09-29|Scientific_Institute_of_Public_Health	A/BELGIUM/H80/2014	True	566	10	A/BELGIUM/H80/2014						EPI_ISL_170275	SIAT1/SIAT1	Scientific_Institute_of_Public_Health	single_isolate_id	False
A/BELGIUM/S0275/2019	EPI_ISL_344072	A	H3N2	2019.0	GISAID	virus_only	8	0	A/BELGIUM/S0275/2019	A/BELGIUM/S0275/2019	A/BELGIUM/S0275/2019	False			False				False		canonical_isolate_id	EPI_ISL_344072|A/Belgium/S0275/2019|2019-01-15|cs|2019-01-15|Scientific_Institute_of_Public_Health	A/BELGIUM/S0275/2019	True	566	8	A/BELGIUM/S0275/2019						EPI_ISL_344072	cs	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0304/2012	A_BELGIUM_S0304_2012	A	H3N2	2012.0	PAPER_REPO_HA1	virus_only	11	0	A/BELGIUM/S0304/2012	A/BELGIUM/S0304/2012	A/BELGIUM/S0304/2012	False			False	repo_exact	A_BELGIUM_S0304_2012	A/BELGIUM/S0304/2012	True	328.0				False		11	A/BELGIUM/S0304/2012										False
A/BELGIUM/S0325/2012	A_BELGIUM_S0325_2012	A	H3N2	2012.0	PAPER_REPO_HA1	virus_only	11	0	A/BELGIUM/S0325/2012	A/BELGIUM/S0325/2012	A/BELGIUM/S0325/2012	False			False	repo_exact	A_BELGIUM_S0325_2012	A/BELGIUM/S0325/2012	True	328.0				False		11	A/BELGIUM/S0325/2012										False
A/BELGIUM/S0571/2020	EPI_ISL_477461	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0571/2020	A/BELGIUM/S0571/2020	A/BELGIUM/S0571/2020	False			False				False		canonical_isolate_id	EPI_ISL_477461|A/Belgium/S0571/2020|2020-02-03|SIAT1-ori|2020-02-03|Scientific_Institute_of_Public_Health	A/BELGIUM/S0571/2020	True	566	9	A/BELGIUM/S0571/2020						EPI_ISL_477461	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0710/2020	EPI_ISL_477471	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0710/2020	A/BELGIUM/S0710/2020	A/BELGIUM/S0710/2020	False			False				False		canonical_isolate_id	EPI_ISL_477471|A/Belgium/S0710/2020|2020-02-08|SIAT1-ori|2020-02-08|Scientific_Institute_of_Public_Health	A/BELGIUM/S0710/2020	True	566	9	A/BELGIUM/S0710/2020						EPI_ISL_477471	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0734/2020	EPI_ISL_477472	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0734/2020	A/BELGIUM/S0734/2020	A/BELGIUM/S0734/2020	False			False				False		canonical_isolate_id	EPI_ISL_477472|A/Belgium/S0734/2020|2020-02-10|SIAT1-ori|2020-02-10|Scientific_Institute_of_Public_Health	A/BELGIUM/S0734/2020	True	566	9	A/BELGIUM/S0734/2020						EPI_ISL_477472	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0751/2020	EPI_ISL_477474	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0751/2020	A/BELGIUM/S0751/2020	A/BELGIUM/S0751/2020	False			False				False		canonical_isolate_id	EPI_ISL_477474|A/Belgium/S0751/2020|2020-02-01|SIAT1-ori|2020-02-01|Scientific_Institute_of_Public_Health	A/BELGIUM/S0751/2020	True	566	9	A/BELGIUM/S0751/2020						EPI_ISL_477474	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0826/2020	EPI_ISL_477476	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0826/2020	A/BELGIUM/S0826/2020	A/BELGIUM/S0826/2020	False			False				False		canonical_isolate_id	EPI_ISL_477476|A/Belgium/S0826/2020|2020-02-12|SIAT1-ori|2020-02-12|Scientific_Institute_of_Public_Health	A/BELGIUM/S0826/2020	True	566	9	A/BELGIUM/S0826/2020						EPI_ISL_477476	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0831/2020	EPI_ISL_477477	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0831/2020	A/BELGIUM/S0831/2020	A/BELGIUM/S0831/2020	False			False				False		canonical_isolate_id	EPI_ISL_477477|A/Belgium/S0831/2020|2020-02-11|SIAT1-ori|2020-02-11|Scientific_Institute_of_Public_Health	A/BELGIUM/S0831/2020	True	566	9	A/BELGIUM/S0831/2020						EPI_ISL_477477	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0878/2020	EPI_ISL_477479	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0878/2020	A/BELGIUM/S0878/2020	A/BELGIUM/S0878/2020	False			False				False		canonical_isolate_id	EPI_ISL_477480|A/Belgium/S0878/2020|2020-02-14|SIAT1-ori|2020-02-14|Scientific_Institute_of_Public_Health	A/BELGIUM/S0878/2020	True	566	9	A/BELGIUM/S0878/2020						EPI_ISL_477480	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S0900/2020	EPI_ISL_485726	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S0900/2020	A/BELGIUM/S0900/2020	A/BELGIUM/S0900/2020	False			False				False		canonical_isolate_id	EPI_ISL_485726|A/Belgium/S0900/2020|2020-02-11|SIAT1/SIAT1|2020-02-11|Scientific_Institute_of_Public_Health	A/BELGIUM/S0900/2020	True	566	9	A/BELGIUM/S0900/2020						EPI_ISL_485726	SIAT1/SIAT1	Scientific_Institute_of_Public_Health	single_isolate_id	False
A/BELGIUM/S0923/2013	A_BELGIUM_S0923_2013	A	H3N2	2013.0	PAPER_REPO_HA1	virus_only	11	0	A/BELGIUM/S0923/2013	A/BELGIUM/S0923/2013	A/BELGIUM/S0923/2013	False			False	repo_exact	A_BELGIUM_S0923_2013	A/BELGIUM/S0923/2013	True	328.0				False		11	A/BELGIUM/S0923/2013										False
A/BELGIUM/S0930/2013	A_BELGIUM_S0930_2013	A	H3N2	2013.0	PAPER_REPO_HA1	virus_only	11	0	A/BELGIUM/S0930/2013	A/BELGIUM/S0930/2013	A/BELGIUM/S0930/2013	False			False	repo_exact	A_BELGIUM_S0930_2013	A/BELGIUM/S0930/2013	True	328.0				False		11	A/BELGIUM/S0930/2013										False
A/BELGIUM/S0932/2013		A	H3N2	2013.0		virus_only	11	0	A/BELGIUM/S0932/2013	A/BELGIUM/S0932/2013	A/BELGIUM/S0932/2013	False			False				False					False		11	A/BELGIUM/S0932/2013	no_public_match									False
A/BELGIUM/S1003/2020	EPI_ISL_477484	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S1003/2020	A/BELGIUM/S1003/2020	A/BELGIUM/S1003/2020	False			False				False		canonical_isolate_id	EPI_ISL_477484|A/Belgium/S1003/2020|2020-02-19|SIAT1-ori|2020-02-19|Scientific_Institute_of_Public_Health	A/BELGIUM/S1003/2020	True	566	9	A/BELGIUM/S1003/2020						EPI_ISL_477484	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S1081/2020	EPI_ISL_477487	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S1081/2020	A/BELGIUM/S1081/2020	A/BELGIUM/S1081/2020	False			False				False		canonical_isolate_id	EPI_ISL_477488|A/Belgium/S1081/2020|2020-02-24|SIAT1-ori|2020-02-24|Scientific_Institute_of_Public_Health	A/BELGIUM/S1081/2020	True	566	9	A/BELGIUM/S1081/2020						EPI_ISL_477488	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/S1258/2020	EPI_ISL_477494	A	H3N2	2020.0	GISAID	virus_only	9	0	A/BELGIUM/S1258/2020	A/BELGIUM/S1258/2020	A/BELGIUM/S1258/2020	False			False				False		canonical_isolate_id	EPI_ISL_477494|A/Belgium/S1258/2020|2020-02-07|SIAT1-ori|2020-02-07|Scientific_Institute_of_Public_Health	A/BELGIUM/S1258/2020	True	566	9	A/BELGIUM/S1258/2020						EPI_ISL_477494	SIAT1-ori	Scientific_Institute_of_Public_Health	identical_sequences	False
A/BELGIUM/SP003/2007		A	H3N2	2007.0		virus_only	10	0	A/BELGIUM/SP003/2007	A/BELGIUM/SP003/2007	A/BELGIUM/SP003/2007	False			False				False					False		10	A/BELGIUM/SP003/2007	no_public_match									False
A/BELGIUM/SP004/2007		A	H3N2	2007.0		virus_only	10	0	A/BELGIUM/SP004/2007	A/BELGIUM/SP004/2007	A/BELGIUM/SP004/2007	False			False				False					False		10	A/BELGIUM/SP004/2007	no_public_match									False
A/BELGIUM/SP005/2007		A	H3N2	2007.0		virus_only	10	0	A/BELGIUM/SP005/2007	A/BELGIUM/SP005/2007	A/BELGIUM/SP005/2007	False			False				False					False		10	A/BELGIUM/SP005/2007	no_public_match									False
A/BELGIUM/SP006/2007		A	H3N2	2007.0		virus_only	10	0	A/BELGIUM/SP006/2007	A/BELGIUM/SP006/2007	A/BELGIUM/SP006/2007	False			False				False					False		10	A/BELGIUM/SP006/2007	no_public_match									False
A/BELGIUM/SP007/2007		A	H3N2	2007.0		virus_only	10	0	A/BELGIUM/SP007/2007	A/BELGIUM/SP007/2007	A/BELGIUM/SP007/2007	False			False				False					False		10	A/BELGIUM/SP007/2007	no_public_match									False
A/BELGIUM/SP008/2007		A	H3N2	2007.0		virus_only	10	0	A/BELGIUM/SP008/2007	A/BELGIUM/SP008/2007	A/BELGIUM/SP008/2007	False			False				False					False		10	A/BELGIUM/SP008/2007	no_public_match									False
A/BELGIUM/SP009/2007	A_BELGIUM_SP009_2007	A	H3N2	2007.0	PAPER_REPO_HA1	virus_only	10	0	A/BELGIUM/SP009/2007	A/BELGIUM/SP009/2007	A/BELGIUM/SP009/2007	False			False	repo_exact	A_BELGIUM_SP009_2007	A/BELGIUM/SP009/2007	True	328.0				False		10	A/BELGIUM/SP009/2007										False
A/BELGIUM/SP01/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP01/2009	A/BELGIUM/SP01/2009	A/BELGIUM/SP01/2009	False			False				False					False		8	A/BELGIUM/SP01/2009	no_public_match									False
A/BELGIUM/SP02/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP02/2009	A/BELGIUM/SP02/2009	A/BELGIUM/SP02/2009	False			False				False					False		8	A/BELGIUM/SP02/2009	no_public_match									False
A/BELGIUM/SP03/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP03/2009	A/BELGIUM/SP03/2009	A/BELGIUM/SP03/2009	False			False				False					False		8	A/BELGIUM/SP03/2009	no_public_match									False
A/BELGIUM/SP04/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP04/2009	A/BELGIUM/SP04/2009	A/BELGIUM/SP04/2009	False			False				False					False		8	A/BELGIUM/SP04/2009	no_public_match									False
A/BELGIUM/SP05/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP05/2009	A/BELGIUM/SP05/2009	A/BELGIUM/SP05/2009	False			False				False					False		8	A/BELGIUM/SP05/2009	no_public_match									False
A/BELGIUM/SP06/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP06/2009	A/BELGIUM/SP06/2009	A/BELGIUM/SP06/2009	False			False				False					False		8	A/BELGIUM/SP06/2009	no_public_match									False
A/BELGIUM/SP07/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP07/2009	A/BELGIUM/SP07/2009	A/BELGIUM/SP07/2009	False			False				False					False		8	A/BELGIUM/SP07/2009	no_public_match									False
A/BELGIUM/SP08/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP08/2009	A/BELGIUM/SP08/2009	A/BELGIUM/SP08/2009	False			False				False					False		8	A/BELGIUM/SP08/2009	no_public_match									False
A/BELGIUM/SP09/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP09/2009	A/BELGIUM/SP09/2009	A/BELGIUM/SP09/2009	False			False				False					False		8	A/BELGIUM/SP09/2009	no_public_match									False
A/BELGIUM/SP10/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP10/2009	A/BELGIUM/SP10/2009	A/BELGIUM/SP10/2009	False			False				False					False		8	A/BELGIUM/SP10/2009	no_public_match									False
A/BELGIUM/SP11/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP11/2009	A/BELGIUM/SP11/2009	A/BELGIUM/SP11/2009	False			False				False					False		8	A/BELGIUM/SP11/2009	no_public_match									False
A/BELGIUM/SP12/2009		A	H3N2	2009.0		virus_only	8	0	A/BELGIUM/SP12/2009	A/BELGIUM/SP12/2009	A/BELGIUM/SP12/2009	False			False				False					False		8	A/BELGIUM/SP12/2009	no_public_match									False
A/BELGIUM/SP13/2008		A	H3N2	2008.0		virus_only	13	0	A/BELGIUM/SP13/2008	A/BELGIUM/SP13/2008	A/BELGIUM/SP13/2008	False			False				False					False		13	A/BELGIUM/SP13/2008	no_public_match									False
A/BELGIUM/SP13/2009		A	H3N2	2009.0		virus_only	17	0	A/BELGIUM/SP13/2009	A/BELGIUM/SP13/2009	A/BELGIUM/SP13/2009	False			False				False					False		17	A/BELGIUM/SP13/2009	no_public_match									False
A/BELGOROD/2/2016	EPI_ISL_248401	A	H3N2	2016.0	GISAID	virus_only	12	0	A/BELGOROD/2/2016	A/BELGOROD/2/2016	A/BELGOROD/2/2016	False			False				False		canonical_isolate_id	EPI_ISL_248401|A/Belgorod/2/2016|2016-12-13|MDCK1/SIAT1|2016-12-13|WHO_National_Influenza_Centre_Russian_Federation	A/BELGOROD/2/2016	True	566	12	A/BELGOROD/2/2016						EPI_ISL_248401	MDCK1/SIAT1	WHO_National_Influenza_Centre_Russian_Federation	single_isolate_id	False
A/BELGOROD/3/2007		A	H3N2	2007.0		virus_only	8	0	A/BELGOROD/3/2007	A/BELGOROD/3/2007	A/BELGOROD/3/2007	False			False				False					False		8	A/BELGOROD/3/2007	no_public_match									False
A/BELGRADE/1061/2003		A	H3N2	2003.0		virus_only	9	0	A/BELGRADE/1061/2003	A/BELGRADE/1061/2003	A/BELGRADE/1061/2003	False			False				False					False		9	A/BELGRADE/1061/2003	no_public_match									False
A/BELGRADE/1154/2003		A	H3N2	2003.0		virus_only	9	0	A/BELGRADE/1154/2003	A/BELGRADE/1154/2003	A/BELGRADE/1154/2003	False			False				False					False		9	A/BELGRADE/1154/2003	no_public_match									False
A/BELGRADE/1166/2013	A_BELGRADE_1166_2013	A	H3N2	2013.0	PAPER_REPO_HA1	virus_only	24	0	A/BELGRADE/1166/2013	A/BELGRADE/1166/2013	A/BELGRADE/1166/2013	False			False	repo_exact	A_BELGRADE_1166_2013	A/BELGRADE/1166/2013	True	328.0				False		24	A/BELGRADE/1166/2013										False
A/BELGRADE/1285/2003		A	H3N2	2003.0		virus_only	9	0	A/BELGRADE/1285/2003	A/BELGRADE/1285/2003	A/BELGRADE/1285/2003	False			False				False					False		9	A/BELGRADE/1285/2003	no_public_match									False
A/BELGRADE/1340/2007		A	H3N2	2007.0		virus_only	11	0	A/BELGRADE/1340/2007	A/BELGRADE/1340/2007	A/BELGRADE/1340/2007	False			False				False					False		11	A/BELGRADE/1340/2007	no_public_match									False
A/BELGRADE/1417/2014		A	H3N2	2014.0		virus_only	9	0	A/BELGRADE/1417/2014	A/BELGRADE/1417/2014	A/BELGRADE/1417/2014	False			False				False					False		9	A/BELGRADE/1417/2014	no_public_match									False
A/BELGRADE/1420/2012	EPI_ISL_128016	A	H3N2	2012.0	GISAID	virus_only	10	0	A/BELGRADE/1420/2012	A/BELGRADE/1420/2012	A/BELGRADE/1420/2012	False			False				False		canonical_isolate_id	EPI_ISL_128016|A/Belgrade/1420/2012|2012-03-26|C1/SIAT1|2012-03-26|Institute_of_Immunology_and_Virology_Torlak	A/BELGRADE/1420/2012	True	566	10	A/BELGRADE/1420/2012						EPI_ISL_128016	C1/SIAT1	Institute_of_Immunology_and_Virology_Torlak	single_isolate_id	False
A/BELGRADE/1470/2012	EPI_ISL_128017	A	H3N2	2012.0	GISAID	virus_only	10	0	A/BELGRADE/1470/2012	A/BELGRADE/1470/2012	A/BELGRADE/1470/2012	False			False				False		canonical_isolate_id	EPI_ISL_128017|A/Belgrade/1470/2012|2012-03-27|C1/SIAT2|2012-03-27|Institute_of_Immunology_and_Virology_Torlak	A/BELGRADE/1470/2012	True	566	10	A/BELGRADE/1470/2012						EPI_ISL_128017	C1/SIAT2	Institute_of_Immunology_and_Virology_Torlak	single_isolate_id	False
A/BELGRADE/1543/2003	A_BELGRADE_1543_2003	A	H3N2	2003.0	PAPER_REPO_HA1	virus_only	9	0	A/BELGRADE/1543/2003	A/BELGRADE/1543/2003	A/BELGRADE/1543/2003	False			False	repo_exact	A_BELGRADE_1543_2003	A/BELGRADE/1543/2003	True	328.0				False		9	A/BELGRADE/1543/2003										False
A/BELGRADE/1544/2012	EPI_ISL_128018	A	H3N2	2012.0	GISAID	virus_only	10	0	A/BELGRADE/1544/2012	A/BELGRADE/1544/2012	A/BELGRADE/1544/2012	False			False				False		canonical_isolate_id	EPI_ISL_128018|A/Belgrade/1544/2012|2012-03-30|C1/SIAT1|2012-03-30|Institute_of_Immunology_and_Virology_Torlak	A/BELGRADE/1544/2012	True	566	10	A/BELGRADE/1544/2012						EPI_ISL_128018	C1/SIAT1	Institute_of_Immunology_and_Virology_Torlak	single_isolate_id	False
A/BELGRADE/1545/2012	EPI_ISL_128019	A	H3N2	2012.0	GISAID	virus_only	10	0	A/BELGRADE/1545/2012	A/BELGRADE/1545/2012	A/BELGRADE/1545/2012	False			False				False		canonical_isolate_id	EPI_ISL_128019|A/Belgrade/1545/2012|2012-03-30|C1/SIAT1|2012-03-30|Institute_of_Immunology_and_Virology_Torlak	A/BELGRADE/1545/2012	True	566	10	A/BELGRADE/1545/2012						EPI_ISL_128019	C1/SIAT1	Institute_of_Immunology_and_Virology_Torlak	single_isolate_id	False
A/BELGRADE/1741/2012	EPI_ISL_128020	A	H3N2	2012.0	GISAID	virus_only	10	0	A/BELGRADE/1741/2012	A/BELGRADE/1741/2012	A/BELGRADE/1741/2012	False			False				False		canonical_isolate_id	EPI_ISL_128020|A/Belgrade/1741/2012|2012-04-11|C1/SIAT1|2012-04-11|Institute_of_Immunology_and_Virology_Torlak	A/BELGRADE/1741/2012	True	566	10	A/BELGRADE/1741/2012						EPI_ISL_128020	C1/SIAT1	Institute_of_Immunology_and_Virology_Torlak	single_isolate_id	False
